AREA_HIDRO,CATEGORIA,count,min,max,range,mean,stddev
Orinoco,Pluviom�tr,292,0,46.03013699,46.03013699,29.70629574,19.36560942
Orinoco,Radio Sonda,2,8.74520548,28.96438356,20.21917808,18.85479452,10.10958904
Orinoco,Sin�ptica Princi,4,7.205479452,46.03013699,38.82465753,36.3239726,16.81156986
Orinoco,Sin�ptica Secunda,1,39.16986301,39.16986301,0,39.16986301,0
Pacifico,Agrometeorol�g,2,44.79726027,46.03013699,1.232876712,45.41369863,0.616438356
Pacifico,Ambiental,1,11.09041096,11.09041096,0,11.09041096,0
Pacifico,Climatol�gica Ordina,63,0,46.03013699,46.03013699,24.83270276,18.95235748
Pacifico,Climatol�gica Princi,52,0.693150685,46.03013699,45.3369863,21.9016333,13.27814967
Pacifico,Limnigr�f,94,0,46.03013699,46.03013699,29.30131157,17.48001156
Pacifico,Limnim�tr,27,0,46.03013699,46.03013699,30.65347539,17.34615586
Pacifico,Meteorol�gica Espec,11,4.084931507,46.03013699,41.94520548,12.94769614,13.44270312
Pacifico,Meteorologica Marina,15,0.032876712,46.03013699,45.99726027,11.20018265,14.78104285
Pacifico,Pluviogr�f,25,0,46.03013699,46.03013699,18.37150685,20.05139303
Pacifico,Pluviom�tr,200,0,46.03013699,46.03013699,29.20339726,19.71977948
Pacifico,Radio Sonda,1,7.205479452,7.205479452,0,7.205479452,0
Pacifico,Sin�ptica Princi,2,28.16986301,46.03013699,17.86027397,37.1,8.930136986
Pacifico,Sin�ptica Secunda,2,0,22.21643836,22.21643836,11.10821918,11.10821918
