DeCodigo,DeNombre,count,unique,min,max,range,sum,mean,median,stddev,minority,majority,q1,q3,iqr
23,C?rdoba,75,75,56174642.3366337,178781698.821782,122607056.485148,12422280664.7525,165630408.863366,167130357.589109,14410660.7460156,56174642.3366337,56174642.3366337,164320254.163366,171292432.589109,6972178.42574301
27,Choc?,75,75,43692639.8625954,151613438.513995,107920798.6514,9536283738.12213,127150449.841628,128707641.045802,12718889.643653,43692639.8625954,43692639.8625954,123099939.712468,132204141.357506,9104201.6450385
17,Caldas,75,75,58023847.7666667,190973003.633333,132949155.866666,13066248930.6333,174216652.408444,177218679.166667,16480150.5533532,58023847.7666667,58023847.7666667,170085903.516667,181940973.541667,11855070.025
18,Caquet?,75,75,55552738.7301587,189083016.203704,133530277.473545,12557170342.7937,167428937.903915,168503225.896825,15241734.3754776,55552738.7301587,55552738.7301587,165088216.829365,173348458.753307,8260241.92394197
25,Cundinamarca,75,75,56063401.0253807,189119239.532995,133055838.507614,12919466173.797,172259548.983959,174314816.411168,15661386.9661896,56063401.0253807,56063401.0253807,170162784.472081,178882589.926396,8719805.45431453
41,Huila,75,75,54524803.0933333,195238649.773333,140713846.68,13075030001.6,174333733.354667,176131275.26,16073421.6746085,54524803.0933333,54524803.0933333,173174333.11,180568787.143333,7394454.033333
63,Quind?o,75,75,54040048.5333333,186300993.066667,132260944.533334,12427720056.2667,165702934.083556,168640591,16062519.3606581,54040048.5333333,54040048.5333333,162386710.4,173553469.6,11166759.2
66,Risaralda,75,75,47936471.2857143,169375387.214286,121438915.928572,10935803060.8214,145810707.477619,147213358,14630171.4487799,47936471.2857143,47936471.2857143,143102836.875,152517770.678571,9414933.80357149
50,Meta,75,75,59883904.8605697,199077607.697151,139193702.836581,13195495476.8846,175939939.691794,176960276.338831,15691110.6453051,59883904.8605697,59883904.8605697,173650040.60045,182352350.182908,8702309.58245847
85,Casanare,75,75,62812188.6480447,198454850.212291,135642661.564246,13437652557.5531,179168700.767374,180674253.455307,15665414.1627254,62812188.6480447,62812188.6480447,176004295.543296,185975694.372905,9971398.82960901
95,Guaviare,75,75,58309386.4672489,188970031.196507,130660644.729258,12511807643.1354,166824101.908472,167438671.89083,14826267.0324066,58309386.4672489,58309386.4672489,163862152.894105,172579249.919214,8717097.02510998
5,Antioquia,75,75,57007792.5009785,183859393.299413,126851600.798434,12613024618.9393,168173661.585858,170456933.60274,15502221.4626161,57007792.5009785,57007792.5009785,164392419.598826,175285859.472602,10893439.8737765
15,Boyac?,75,75,59263358.8478261,191629603.63587,132366244.788044,13364400860.1522,178192011.468696,179864109.358696,15722190.6066202,59263358.8478261,59263358.8478261,176726921.089674,185044454.149457,8317533.05978301
19,Cauca,75,75,49031781.8023716,166768830.711462,117737048.90909,11414557901.4387,152194105.352516,154271419.146245,13695489.886086,49031781.8023716,49031781.8023716,151141761.15415,156153907.839921,5012146.68577099
73,Tolima,75,75,56725047.5376885,194372155.829146,137647108.291458,13182031861.6884,175760424.822513,178919351.678392,16215114.7830896,56725047.5376885,56725047.5376885,173097914.899498,182435314.876884,9337399.97738698
