AREA_HIDRO,CATEGORIA,count,min,max,range,mean,stddev
Caribe,Sin�ptica Princi,9,10.56712329,84.93150685,74.36438356,50.4325723,26.29798768
Caribe,Sin�ptica Secunda,2,10.90684932,33.77260274,22.86575342,22.33972603,11.43287671
Magdalena Cauca,Agrometeorol�g,69,0.810958904,96.02465753,95.21369863,17.5961485,19.36459142
Magdalena Cauca,Ambiental,5,8.115068493,11.2739726,3.15890411,9.928767123,1.017078409
Magdalena Cauca,Climatol�gica Ordina,631,0,126.0465753,126.0465753,27.54277403,23.15963675
Magdalena Cauca,Climatol�gica Princi,568,0,95.02465753,95.02465753,21.16995466,18.41463628
Magdalena Cauca,HidroMeteorologica,6,13.17260274,22.85205479,9.679452055,19.26347032,3.668675391
Magdalena Cauca,Limnigr�f,763,0,99.53150685,99.53150685,28.24258245,23.52781654
Magdalena Cauca,Limnim�tr,1318,0,111.9917808,111.9917808,27.80385391,23.19495571
Magdalena Cauca,Meteorol�gica Espec,121,1.169863014,71.26027397,70.09041096,27.24784331,20.26250936
Magdalena Cauca,Meteorologica Marina,5,3.947945206,9.797260274,5.849315069,8.62739726,2.339726027
Magdalena Cauca,Pluviogr�f,467,0.082191781,89.9369863,89.85479452,32.54528175,23.1937833
Magdalena Cauca,Pluviom�tr,2643,0,101.0273973,101.0273973,34.82371216,23.36534616
Magdalena Cauca,Radio Sonda,6,7.243835616,66.00547945,58.76164384,18.20502283,21.39729041
Magdalena Cauca,Sin�ptica Princi,18,9.468493151,94.52876712,85.06027397,38.60273973,29.29541463
Magdalena Cauca,Sin�ptica Secunda,8,8.923287671,96.02465753,87.10136986,43.63253425,26.87950296
Orinoco,Agrometeorol�g,38,0.605479452,60.41917808,59.81369863,8.698197549,10.94977182
Orinoco,Climatol�gica Ordina,66,0.835616438,66.00547945,65.16986301,26.99294313,19.83096964
Orinoco,Climatol�gica Princi,75,0,65.3369863,65.3369863,21.64383562,18.16603064
Orinoco,Limnigr�f,100,0,79.76712329,79.76712329,29.2910411,21.87010034
Orinoco,Limnim�tr,288,0.167123288,124.1808219,124.0136986,31.47896689,18.82216248
Orinoco,Meteorol�gica Espec,25,0.178082192,61.08493151,60.90684932,19.68416438,18.7714554
Orinoco,Pluviogr�f,59,0.501369863,78.43287671,77.93150685,37.77032737,21.11925534
Orinoco,Pluviom�tr,292,0,80.01369863,80.01369863,36.14160255,21.52089696
Orinoco,Radio Sonda,2,8.74520548,35.34794521,26.60273973,22.04657534,13.30136986
Orinoco,Sin�ptica Princi,4,44.35890411,101.2794521,56.92054795,68.72534247,21.97298127
Orinoco,Sin�ptica Secunda,1,46.38630137,46.38630137,0,46.38630137,0
Pacifico,Agrometeorol�g,2,45.43013699,72.67945205,27.24931507,59.05479452,13.62465753
Pacifico,Ambiental,1,11.09041096,11.09041096,0,11.09041096,0
Pacifico,Climatol�gica Ordina,63,0.58630137,94.52876712,93.94246575,30.99630354,23.90210552
Pacifico,Climatol�gica Princi,52,0.693150685,71.00821918,70.31506849,25.15885142,18.31702115
Pacifico,Limnigr�f,94,1.082191781,80.01369863,78.93150685,32.62048965,20.23187298
Pacifico,Limnim�tr,27,1.336986301,62.3369863,61,36.52338914,19.67854359
Pacifico,Meteorol�gica Espec,11,4.084931507,54.58356164,50.49863014,14.07795766,15.41284433
Pacifico,Meteorologica Marina,15,0.032876712,84.68767123,84.65479452,15.66502283,25.74182058
Pacifico,Pluviogr�f,25,1.254794521,74.0109589,72.75616438,26.16975342,25.05005323
Pacifico,Pluviom�tr,200,0.084931507,111.0356164,110.9506849,36.79308219,22.41372554
Pacifico,Radio Sonda,1,13.00821918,13.00821918,0,13.00821918,0
Pacifico,Sin�ptica Princi,2,28.16986301,68.17260274,40.00273973,48.17123288,20.00136986
Pacifico,Sin�ptica Secunda,2,2.915068493,53.86849315,50.95342466,28.39178082,25.47671233
