DeCodigo,DeNombre,Decade,Year,count,unique,min,max,range,sum,mean,median,stddev,minority,majority,q1,q3,iqr
8,Atlántico,1960,1960,12,12,14352939.7857143,18298972.5714286,3946032.7857143,192323967.5,16026997.2916667,15752008.3928571,1211494.17263241,14352939.7857143,14352939.7857143,15194227.75,16894297.1785714,1700069.4285714
20,Cesar,1960,1960,12,12,13473885.7142857,16689095.1978022,3215209.4835165,179653402.521978,14971116.8768315,14949197.8956043,1026924.78837879,13473885.7142857,13473885.7142857,13979389.3241758,15839643.1483517,1860253.82417585
54,Norte de Santander,1960,1960,12,12,13317977.9662921,16413482.2191011,3095504.252809,180311653.938202,15025971.1615169,15041610.3595506,1046650.01527469,13317977.9662921,13317977.9662921,14176470.3033708,15963996.7415731,1787526.43820225
70,Sucre,1960,1960,12,12,13290115.3793103,16578901.816092,3288786.4367817,175085021.528736,14590418.460728,14166522.3793104,1035908.5765489,13290115.3793103,13290115.3793103,13853634.1091954,15182703.3103448,1329069.20114945
99,Vichada,1960,1960,12,12,10931538.4215686,19997062.0245098,9065523.6029412,181007013.54902,15083917.7957516,15377232.8272058,2618014.85109139,10931538.4215686,10931538.4215686,12602391.877451,16817683.7990196,4215291.92156865
47,Magdalena,1960,1960,12,12,13276237.4189944,16761128.0223464,3484890.603352,177739551.050279,14811629.25419,14570039.726257,1072565.98924862,13276237.4189944,13276237.4189944,14108455.9776536,15439721.5363129,1331265.5586592
41,Huila,1960,1960,12,12,12579447.72,17589801.7066667,5010353.9866667,183875513.1,15322959.425,15757655.25,1443753.1813018,12579447.72,12579447.72,14001638.18,16170856.6466666,2169218.46666665
27,Chocó,1960,1960,12,12,9668034.3307888,13739087.3613232,4071053.0305344,133912157.501272,11159346.4584394,11130927.019084,1127013.05091466,9668034.3307888,9668034.3307888,10170883.3104325,11839993.5216285,1669110.21119595
44,La Guajira,1960,1960,12,12,13398730.2929936,18137409.2356688,4738678.9426752,197951710.745223,16495975.8954352,16877156.9872611,1420637.55656711,13398730.2929936,13398730.2929936,15537596.9840764,17547865.2802548,2010268.29617835
17,Caldas,1960,1960,12,12,13520331.6,17237199.7666667,3716868.1666667,185122898.566667,15426908.2138889,15067739.6833333,1186849.67578782,13520331.6,13520331.6,14605682.5166667,16756164.6833333,2150482.1666666
18,Caquetá,1960,1960,12,12,10850947.5767196,18206130.8108466,7355183.234127,179655486.674603,14971290.5562169,15260334.0112434,2279111.17369177,10850947.5767196,10850947.5767196,13066820.2195767,16616031.1653439,3549210.9457672
25,Cundinamarca,1960,1960,12,12,12285393.1167513,17582990.1878173,5297597.071066,180419642.436548,15034970.2030457,15196432.9949238,1426245.45792254,12285393.1167513,12285393.1167513,13849438.3807107,15732285.428934,1882847.04822335
50,Meta,1960,1960,12,12,11587653.9550225,19055406.0329835,7467752.077961,187956794.925038,15663066.2437531,16251941.6049475,2166434.09098818,11587653.9550225,11587653.9550225,13969042.4467767,17254957.5862069,3285915.13943025
63,Quindío,1960,1960,12,12,12850621.8666667,16550691.6,3700069.7333333,175314565.266667,14609547.1055556,14287517.4666667,1119835.74477696,12850621.8666667,12850621.8666667,13829772.6666667,15751878.4,1922105.7333333
66,Risaralda,1960,1960,12,12,11065990.5,14753215,3687224.5,154511657.071429,12875971.422619,12409411.6071429,1185142.2287772,11065990.5,11065990.5,12273385.1071429,14300690.75,2027305.6428571
0,Area en Litigio Cauca - Huila,1960,1960,12,12,12648142,17161268,4513126,178963953.666667,14913662.8055556,14983197.5,1341222.23091939,12648142,12648142,13742413.3333334,15704356,1961942.66666665
85,Casanare,1960,1960,12,12,12111063.3798883,18754083.3854749,6643020.0055866,189179223.337989,15764935.2781657,16166013.6340782,1937167.49073385,12111063.3798883,12111063.3798883,14128303.1256983,17391573.3268156,3263270.20111735
95,Guaviare,1960,1960,12,12,10411589.0611354,18799585.510917,8387996.4497816,177586790.336245,14798899.194687,15148484.6637555,2473987.15113977,10411589.0611354,10411589.0611354,12713195.8449781,16415871.5676856,3702675.72270745
5,Antioquia,1960,1960,12,12,13231011.111546,15778840.2426614,2547829.1311154,174369123.636008,14530760.3030006,14419885.8317025,893185.899721757,13231011.111546,13231011.111546,13796410.5626223,15529211.4324853,1732800.869863
15,Boyacá,1960,1960,12,12,13163502.0652174,17553498.2119565,4389996.1467391,186260891.875,15521740.9895833,15664468.8097827,1210856.9620452,13163502.0652174,13163502.0652174,14473200.5163044,16259486.5543478,1786286.03804345
19,Cauca,1960,1960,12,12,11661279.4703557,15465685.6561265,3804406.1857708,158743714.426877,13228642.8689065,13071857.0830039,1070542.43652344,11661279.4703557,11661279.4703557,12388887.104743,13865123.4308301,1476236.326087
23,Córdoba,1960,1960,12,12,12838669.5148515,15758566.5148515,2919897,168174993.415842,14014582.7846535,13851223.7970297,899733.56689495,12838669.5148515,12838669.5148515,13308643.6831683,14428941.460396,1120297.7772277
73,Tolima,1960,1960,12,12,13209129.4271357,17534939.9045226,4325810.4773869,185664330.924623,15472027.5770519,15348058.7437186,1209776.79833528,13209129.4271357,13209129.4271357,14626333.9045226,16271156.4120603,1644822.50753765
94,Guainía,1960,1961,12,12,11944822.939759,17103470.5266781,5158647.5869191,177240760.471601,14770063.3726334,14674420.3812392,1473713.9815153,11944822.939759,11944822.939759,13872334.4388984,16084989.2134251,2212654.77452665
52,Nariño,1960,1961,12,12,11204765.1968504,15391607.5669291,4186842.3700787,150454767.850394,12537897.3208662,12307230.3070867,1247250.07951184,11204765.1968504,11204765.1968504,11412747.1692914,13361882.9212599,1949135.7519685
99,Vichada,1960,1961,12,12,11602425.3259804,17252805.5821078,5650380.2561274,181696012.91299,15141334.4094158,15393912.2818628,1725499.49166679,11602425.3259804,11602425.3259804,14074353.9105392,16709790.1470588,2635436.2365196
0,Area en Litigio Cauca - Huila,1960,1961,12,12,11665078,17611801.3333333,5946723.3333333,173896176,14491348,14498306.1666666,1891393.316822,11665078,11665078,13015719.8333334,15801562.6666667,2785842.83333335
17,Caldas,1960,1961,12,12,12262036.5666667,18624936.4333333,6362899.8666666,188046735.1,15670561.2583333,15129349.7166667,1742061.56014365,12262036.5666667,12262036.5666667,14709072.8666667,17155786.0166667,2446713.15
18,Caquetá,1960,1961,12,12,11791790.2407407,18274169.9259259,6482379.6851852,178585896.440476,14882158.0367064,15408341.0476191,1993733.67453253,11791790.2407407,11791790.2407407,12970006.80291,16362796.8921958,3392790.08928575
25,Cundinamarca,1960,1961,12,12,12609451.4111675,18407588.7309645,5798137.319797,182167757.401015,15180646.4500846,15170251.1624365,1661118.69294426,12609451.4111675,12609451.4111675,13789831.751269,16296257.2182741,2506425.46700505
41,Huila,1960,1961,12,12,12053538.2,18720761.8666667,6667223.6666667,180150277.313333,15012523.1094444,15179546.0733333,1980023.82908067,12053538.2,12053538.2,13409316.5666667,16347033.1633333,2937716.59666665
50,Meta,1960,1961,12,12,12389777.5412294,18909976.5157421,6520198.9745127,187900657.118441,15658388.0932034,15737788.8050974,1883293.20263364,12389777.5412294,12389777.5412294,14244778.970015,17039154.3178411,2794375.34782605
63,Quindío,1960,1961,12,12,11653537.8666667,17466463.4,5812925.5333333,177218231.933334,14768185.9944445,14557445.5666667,1672626.51940525,11653537.8666667,11653537.8666667,13725122.2666667,16295846.2,2570723.9333333
66,Risaralda,1960,1961,12,12,10092525.5714286,15621728.3571429,5529202.7857143,154399576.178571,12866631.3482143,12531395.25,1494980.54530026,10092525.5714286,10092525.5714286,11928480.0714286,13798293.4464286,1869813.37499995
